실험회수,드론의 높이(m), 풍속(m?s), 드론발전기최대전력(w),드른중량(Kg),밧데리방전율,   농약살포 효율성(면적)(ha) 
1 ,13.00 ,1.00 ,125879.00 ,15.00 ,1.20 ,"29,455,686 "
1 ,20.00 ,1.00 ,132308.00 ,15.00 ,1.20 ,"47,630,880 "
1 ,10.00 ,1.00 ,126918.00 ,15.00 ,1.20 ,"22,845,240 "
1 ,19.00 ,1.00 ,124761.00 ,15.00 ,1.20 ,"42,668,262 "
1 ,13.00 ,1.00 ,124564.00 ,15.00 ,1.20 ,"29,147,976 "
1 ,14.00 ,1.00 ,130137.00 ,15.00 ,1.20 ,"32,794,524 "
1 ,10.00 ,1.00 ,143256.00 ,15.00 ,1.20 ,"25,786,080 "
1 ,11.00 ,1.00 ,132192.00 ,15.00 ,1.20 ,"26,174,016 "
1 ,14.00 ,1.00 ,121680.00 ,15.00 ,1.20 ,"30,663,360 "
1 ,16.00 ,1.00 ,118320.00 ,15.00 ,1.20 ,"34,076,160 "
1 ,12.00 ,1.00 ,133386.00 ,15.00 ,1.20 ,"28,811,376 "
1 ,19.00 ,1.00 ,144696.00 ,15.00 ,1.20 ,"49,486,032 "
1 ,13.00 ,1.00 ,121380.00 ,15.00 ,1.20 ,"28,402,920 "
1 ,13.00 ,1.00 ,113000.00 ,15.00 ,1.20 ,"26,442,000 "
1 ,18.00 ,1.00 ,143290.00 ,15.00 ,1.20 ,"46,425,960 "
1 ,18.00 ,1.00 ,125708.00 ,15.00 ,1.20 ,"40,729,392 "
1 ,11.00 ,1.00 ,127622.00 ,15.00 ,1.20 ,"25,269,156 "
1 ,17.00 ,1.00 ,114240.00 ,15.00 ,1.20 ,"34,957,440 "
1 ,12.00 ,1.00 ,125874.00 ,15.00 ,1.20 ,"27,188,784 "
1 ,17.00 ,1.00 ,127600.00 ,15.00 ,1.20 ,"39,045,600 "
1 ,11.00 ,1.00 ,129024.00 ,15.00 ,1.20 ,"25,546,752 "
1 ,14.00 ,1.00 ,119108.00 ,15.00 ,1.20 ,"30,015,216 "
1 ,11.00 ,1.00 ,129465.00 ,15.00 ,1.20 ,"25,634,070 "
1 ,10.00 ,1.00 ,122430.00 ,15.00 ,1.20 ,"22,037,400 "
1 ,16.00 ,1.00 ,127302.00 ,15.00 ,1.20 ,"36,662,976 "
1 ,17.00 ,1.00 ,117260.00 ,15.00 ,1.20 ,"35,881,560 "
1 ,10.00 ,1.00 ,147480.00 ,15.00 ,1.20 ,"26,546,400 "
