실험회수,드론의 높이(m), 풍속(m?s), 드론발전기최대전력(w),드른중량(Kg),밧데리방전율,   농약살포 효율성(면적)(ha) 
1 ,13.00 ,1.00 ,125879.00 ,15.00 ,1.20 ,"29,455,686 "
1 ,14.00 ,1.00 ,132308.00 ,15.00 ,1.20 ,"33,341,616 "
1 ,13.00 ,1.00 ,126918.00 ,15.00 ,1.20 ,"29,698,812 "
1 ,19.00 ,1.00 ,124761.00 ,15.00 ,1.20 ,"42,668,262 "
1 ,20.00 ,1.00 ,124564.00 ,15.00 ,1.20 ,"44,843,040 "
1 ,15.00 ,1.00 ,130137.00 ,15.00 ,1.20 ,"35,136,990 "
1 ,15.00 ,1.00 ,143256.00 ,15.00 ,1.20 ,"38,679,120 "
1 ,13.00 ,1.00 ,132192.00 ,15.00 ,1.20 ,"30,932,928 "
1 ,14.00 ,1.00 ,121680.00 ,15.00 ,1.20 ,"30,663,360 "
1 ,18.00 ,1.00 ,118320.00 ,15.00 ,1.20 ,"38,335,680 "
1 ,13.00 ,1.00 ,133386.00 ,15.00 ,1.20 ,"31,212,324 "
1 ,19.00 ,1.00 ,144696.00 ,15.00 ,1.20 ,"49,486,032 "
1 ,15.00 ,1.00 ,121380.00 ,15.00 ,1.20 ,"32,772,600 "
1 ,16.00 ,1.00 ,113000.00 ,15.00 ,1.20 ,"32,544,000 "
1 ,14.00 ,1.00 ,143290.00 ,15.00 ,1.20 ,"36,109,080 "
1 ,10.00 ,1.00 ,125708.00 ,15.00 ,1.20 ,"22,627,440 "
1 ,16.00 ,1.00 ,127622.00 ,15.00 ,1.20 ,"36,755,136 "
1 ,15.00 ,1.00 ,114240.00 ,15.00 ,1.20 ,"30,844,800 "
1 ,14.00 ,1.00 ,125874.00 ,15.00 ,1.20 ,"31,720,248 "
1 ,17.00 ,1.00 ,127600.00 ,15.00 ,1.20 ,"39,045,600 "
1 ,15.00 ,1.00 ,129024.00 ,15.00 ,1.20 ,"34,836,480 "
1 ,11.00 ,1.00 ,119108.00 ,15.00 ,1.20 ,"23,583,384 "
1 ,14.00 ,1.00 ,129465.00 ,15.00 ,1.20 ,"32,625,180 "
1 ,17.00 ,1.00 ,122430.00 ,15.00 ,1.20 ,"37,463,580 "
1 ,17.00 ,1.00 ,127302.00 ,15.00 ,1.20 ,"38,954,412 "
1 ,12.00 ,1.00 ,117260.00 ,15.00 ,1.20 ,"25,328,160 "
1 ,16.00 ,1.00 ,147480.00 ,15.00 ,1.20 ,"42,474,240 "
1 ,11.00 ,1.00 ,150048.00 ,15.00 ,1.20 ,"29,709,504 "
1 ,18.00 ,1.00 ,120758.00 ,15.00 ,1.20 ,"39,125,592 "
1 ,19.00 ,1.00 ,120015.00 ,15.00 ,1.20 ,"41,045,130 "
1 ,15.00 ,1.00 ,140784.00 ,15.00 ,1.20 ,"38,011,680 "
1 ,15.00 ,1.00 ,141404.00 ,15.00 ,1.20 ,"38,179,080 "
1 ,13.00 ,1.00 ,118020.00 ,15.00 ,1.20 ,"27,616,680 "
1 ,11.00 ,1.00 ,119784.00 ,15.00 ,1.20 ,"23,717,232 "
1 ,14.00 ,1.00 ,112460.00 ,15.00 ,1.20 ,"28,339,920 "
1 ,11.00 ,1.00 ,114680.00 ,15.00 ,1.20 ,"22,706,640 "
1 ,19.00 ,1.00 ,115480.00 ,15.00 ,1.20 ,"39,494,160 "
1 ,14.00 ,1.00 ,122820.00 ,15.00 ,1.20 ,"30,950,640 "
1 ,11.00 ,1.00 ,122598.00 ,15.00 ,1.20 ,"24,274,404 "
1 ,18.00 ,1.00 ,125118.00 ,15.00 ,1.20 ,"40,538,232 "
1 ,20.00 ,1.00 ,128260.00 ,15.00 ,1.20 ,"46,173,600 "
1 ,13.00 ,1.00 ,120420.00 ,15.00 ,1.20 ,"28,178,280 "
1 ,19.00 ,1.00 ,139176.00 ,15.00 ,1.20 ,"47,598,192 "
1 ,14.00 ,1.00 ,126522.00 ,15.00 ,1.20 ,"31,883,544 "
1 ,12.00 ,1.00 ,117880.00 ,15.00 ,1.20 ,"25,462,080 "
1 ,19.00 ,1.00 ,147024.00 ,15.00 ,1.20 ,"50,282,208 "
1 ,18.00 ,1.00 ,132687.00 ,15.00 ,1.20 ,"42,990,588 "
1 ,17.00 ,1.00 ,124887.00 ,15.00 ,1.20 ,"38,215,422 "
1 ,13.00 ,1.00 ,148704.00 ,15.00 ,1.20 ,"34,796,736 "
1 ,15.00 ,1.00 ,128524.00 ,15.00 ,1.20 ,"34,701,480 "
1 ,19.00 ,1.00 ,135815.00 ,15.00 ,1.20 ,"46,448,730 "
1 ,15.00 ,1.00 ,146088.00 ,15.00 ,1.20 ,"39,443,760 "
1 ,16.00 ,1.00 ,126293.00 ,15.00 ,1.20 ,"36,372,384 "
1 ,18.00 ,1.00 ,148464.00 ,15.00 ,1.20 ,"48,102,336 "
1 ,20.00 ,1.00 ,127323.00 ,15.00 ,1.20 ,"45,836,280 "
1 ,18.00 ,1.00 ,136488.00 ,15.00 ,1.20 ,"44,222,112 "
1 ,13.00 ,1.00 ,129118.00 ,15.00 ,1.20 ,"30,213,612 "
1 ,19.00 ,1.00 ,137112.00 ,15.00 ,1.20 ,"46,892,304 "
1 ,17.00 ,1.00 ,149280.00 ,15.00 ,1.20 ,"45,679,680 "
1 ,10.00 ,1.00 ,130440.00 ,15.00 ,1.20 ,"23,479,200 "
1 ,15.00 ,1.00 ,134816.00 ,15.00 ,1.20 ,"36,400,320 "
1 ,12.00 ,1.00 ,114160.00 ,15.00 ,1.20 ,"24,658,560 "
1 ,12.00 ,1.00 ,120120.00 ,15.00 ,1.20 ,"25,945,920 "
1 ,13.00 ,1.00 ,142140.00 ,15.00 ,1.20 ,"33,260,760 "
1 ,11.00 ,1.00 ,144647.00 ,15.00 ,1.20 ,"28,640,106 "
1 ,16.00 ,1.00 ,141624.00 ,15.00 ,1.20 ,"40,787,712 "
1 ,12.00 ,1.00 ,125265.00 ,15.00 ,1.20 ,"27,057,240 "
1 ,20.00 ,1.00 ,147792.00 ,15.00 ,1.20 ,"53,205,120 "
1 ,10.00 ,1.00 ,139196.00 ,15.00 ,1.20 ,"25,055,280 "
1 ,15.00 ,1.00 ,115458.00 ,15.00 ,1.20 ,"31,173,660 "
1 ,20.00 ,1.00 ,137736.00 ,15.00 ,1.20 ,"49,584,960 "
1 ,11.00 ,1.00 ,125097.00 ,15.00 ,1.20 ,"24,769,206 "
1 ,18.00 ,1.00 ,144716.00 ,15.00 ,1.20 ,"46,887,984 "
1 ,13.00 ,1.00 ,122320.00 ,15.00 ,1.20 ,"28,622,880 "
1 ,12.00 ,1.00 ,127701.00 ,15.00 ,1.20 ,"27,583,416 "
1 ,12.00 ,1.00 ,130851.00 ,15.00 ,1.20 ,"28,263,816 "
1 ,10.00 ,1.00 ,121275.00 ,15.00 ,1.20 ,"21,829,500 "
1 ,11.00 ,1.00 ,111160.00 ,15.00 ,1.20 ,"22,009,680 "
1 ,20.00 ,1.00 ,128216.00 ,15.00 ,1.20 ,"46,157,760 "
1 ,14.00 ,1.00 ,143208.00 ,15.00 ,1.20 ,"36,088,416 "
1 ,15.00 ,1.00 ,129672.00 ,15.00 ,1.20 ,"35,011,440 "
1 ,17.00 ,1.00 ,121065.00 ,15.00 ,1.20 ,"37,045,890 "
1 ,13.00 ,1.00 ,115960.00 ,15.00 ,1.20 ,"27,134,640 "
1 ,11.00 ,1.00 ,128568.00 ,15.00 ,1.20 ,"25,456,464 "
1 ,10.00 ,1.00 ,149280.00 ,15.00 ,1.20 ,"26,870,400 "
1 ,10.00 ,1.00 ,139896.00 ,15.00 ,1.20 ,"25,181,280 "
1 ,16.00 ,1.00 ,138805.00 ,15.00 ,1.20 ,"39,975,840 "
1 ,20.00 ,1.00 ,143888.00 ,15.00 ,1.20 ,"51,799,680 "
1 ,20.00 ,1.00 ,111220.00 ,15.00 ,1.20 ,"40,039,200 "
1 ,18.00 ,1.00 ,124212.00 ,15.00 ,1.20 ,"40,244,688 "
1 ,16.00 ,1.00 ,141096.00 ,15.00 ,1.20 ,"40,635,648 "
1 ,20.00 ,1.00 ,123940.00 ,15.00 ,1.20 ,"44,618,400 "
1 ,11.00 ,1.00 ,121638.00 ,15.00 ,1.20 ,"24,084,324 "
1 ,16.00 ,1.00 ,143543.00 ,15.00 ,1.20 ,"41,340,384 "
1 ,18.00 ,1.00 ,127407.00 ,15.00 ,1.20 ,"41,279,868 "
1 ,17.00 ,1.00 ,124840.00 ,15.00 ,1.20 ,"38,201,040 "
1 ,13.00 ,1.00 ,120700.00 ,15.00 ,1.20 ,"28,243,800 "
1 ,16.00 ,1.00 ,115458.00 ,15.00 ,1.20 ,"33,251,904 "
1 ,14.00 ,1.00 ,127834.00 ,15.00 ,1.20 ,"32,214,168 "
1 ,18.00 ,1.00 ,124152.00 ,15.00 ,1.20 ,"40,225,248 "
1 ,18.00 ,1.00 ,125422.00 ,15.00 ,1.20 ,"40,636,728 "
1 ,12.00 ,1.00 ,111880.00 ,15.00 ,1.20 ,"24,166,080 "
1 ,10.00 ,1.00 ,123753.00 ,15.00 ,1.20 ,"22,275,540 "
1 ,14.00 ,1.00 ,138792.00 ,15.00 ,1.20 ,"34,975,584 "
1 ,20.00 ,1.00 ,127908.00 ,15.00 ,1.20 ,"46,046,880 "
1 ,16.00 ,1.00 ,131560.00 ,15.00 ,1.20 ,"37,889,280 "
