ex_num,drone_hight,drone_wind,drone_power,drone_weight,drone_batout, drone_po 
1 ,17.00 ,1.00 ,125879.00 ,15.00 ,1.20 ,"38,518,974 "
1 ,16.00 ,1.00 ,132308.00 ,15.00 ,1.20 ,"38,104,704 "
1 ,12.00 ,1.00 ,126918.00 ,15.00 ,1.20 ,"27,414,288 "
1 ,11.00 ,1.00 ,124761.00 ,15.00 ,1.20 ,"24,702,678 "
1 ,20.00 ,1.00 ,124564.00 ,15.00 ,1.20 ,"44,843,040 "
1 ,15.00 ,1.00 ,130137.00 ,15.00 ,1.20 ,"35,136,990 "
1 ,16.00 ,1.00 ,143256.00 ,15.00 ,1.20 ,"41,257,728 "
1 ,16.00 ,1.00 ,132192.00 ,15.00 ,1.20 ,"38,071,296 "
1 ,12.00 ,1.00 ,121680.00 ,15.00 ,1.20 ,"26,282,880 "
1 ,18.00 ,1.00 ,118320.00 ,15.00 ,1.20 ,"38,335,680 "
1 ,15.00 ,1.00 ,133386.00 ,15.00 ,1.20 ,"36,014,220 "
1 ,18.00 ,1.00 ,144696.00 ,15.00 ,1.20 ,"46,881,504 "
1 ,19.00 ,1.00 ,121380.00 ,15.00 ,1.20 ,"41,511,960 "
1 ,12.00 ,1.00 ,113000.00 ,15.00 ,1.20 ,"24,408,000 "
1 ,14.00 ,1.00 ,143290.00 ,15.00 ,1.20 ,"36,109,080 "
1 ,15.00 ,1.00 ,125708.00 ,15.00 ,1.20 ,"33,941,160 "
1 ,17.00 ,1.00 ,127622.00 ,15.00 ,1.20 ,"39,052,332 "
1 ,16.00 ,1.00 ,114240.00 ,15.00 ,1.20 ,"32,901,120 "
1 ,15.00 ,1.00 ,125874.00 ,15.00 ,1.20 ,"33,985,980 "
1 ,14.00 ,1.00 ,127600.00 ,15.00 ,1.20 ,"32,155,200 "
1 ,10.00 ,1.00 ,129024.00 ,15.00 ,1.20 ,"23,224,320 "
1 ,14.00 ,1.00 ,119108.00 ,15.00 ,1.20 ,"30,015,216 "
1 ,15.00 ,1.00 ,129465.00 ,15.00 ,1.20 ,"34,955,550 "
1 ,20.00 ,1.00 ,122430.00 ,15.00 ,1.20 ,"44,074,800 "
1 ,17.00 ,1.00 ,127302.00 ,15.00 ,1.20 ,"38,954,412 "
1 ,11.00 ,1.00 ,117260.00 ,15.00 ,1.20 ,"23,217,480 "
1 ,14.00 ,1.00 ,147480.00 ,15.00 ,1.20 ,"37,164,960 "
1 ,20.00 ,1.00 ,150048.00 ,15.00 ,1.20 ,"54,017,280 "
1 ,15.00 ,1.00 ,120758.00 ,15.00 ,1.20 ,"32,604,660 "
1 ,19.00 ,1.00 ,120015.00 ,15.00 ,1.20 ,"41,045,130 "
1 ,11.00 ,1.00 ,140784.00 ,15.00 ,1.20 ,"27,875,232 "
1 ,12.00 ,1.00 ,141404.00 ,15.00 ,1.20 ,"30,543,264 "
1 ,14.00 ,1.00 ,118020.00 ,15.00 ,1.20 ,"29,741,040 "
1 ,14.00 ,1.00 ,119784.00 ,15.00 ,1.20 ,"30,185,568 "
1 ,12.00 ,1.00 ,112460.00 ,15.00 ,1.20 ,"24,291,360 "
1 ,11.00 ,1.00 ,114680.00 ,15.00 ,1.20 ,"22,706,640 "
1 ,10.00 ,1.00 ,115480.00 ,15.00 ,1.20 ,"20,786,400 "
1 ,16.00 ,1.00 ,122820.00 ,15.00 ,1.20 ,"35,372,160 "
1 ,14.00 ,1.00 ,122598.00 ,15.00 ,1.20 ,"30,894,696 "
1 ,16.00 ,1.00 ,125118.00 ,15.00 ,1.20 ,"36,033,984 "
1 ,11.00 ,1.00 ,128260.00 ,15.00 ,1.20 ,"25,395,480 "
1 ,14.00 ,1.00 ,120420.00 ,15.00 ,1.20 ,"30,345,840 "
1 ,20.00 ,1.00 ,139176.00 ,15.00 ,1.20 ,"50,103,360 "
1 ,17.00 ,1.00 ,126522.00 ,15.00 ,1.20 ,"38,715,732 "
1 ,17.00 ,1.00 ,117880.00 ,15.00 ,1.20 ,"36,071,280 "
1 ,11.00 ,1.00 ,147024.00 ,15.00 ,1.20 ,"29,110,752 "
1 ,16.00 ,1.00 ,132687.00 ,15.00 ,1.20 ,"38,213,856 "
1 ,18.00 ,1.00 ,124887.00 ,15.00 ,1.20 ,"40,463,388 "
1 ,13.00 ,1.00 ,148704.00 ,15.00 ,1.20 ,"34,796,736 "
1 ,18.00 ,1.00 ,128524.00 ,15.00 ,1.20 ,"41,641,776 "
1 ,17.00 ,1.00 ,135815.00 ,15.00 ,1.20 ,"41,559,390 "
1 ,14.00 ,1.00 ,146088.00 ,15.00 ,1.20 ,"36,814,176 "
1 ,15.00 ,1.00 ,126293.00 ,15.00 ,1.20 ,"34,099,110 "
1 ,12.00 ,1.00 ,148464.00 ,15.00 ,1.20 ,"32,068,224 "
1 ,12.00 ,1.00 ,127323.00 ,15.00 ,1.20 ,"27,501,768 "
1 ,16.00 ,1.00 ,136488.00 ,15.00 ,1.20 ,"39,308,544 "
1 ,12.00 ,1.00 ,129118.00 ,15.00 ,1.20 ,"27,889,488 "
1 ,12.00 ,1.00 ,137112.00 ,15.00 ,1.20 ,"29,616,192 "
1 ,17.00 ,1.00 ,149280.00 ,15.00 ,1.20 ,"45,679,680 "
1 ,12.00 ,1.00 ,130440.00 ,15.00 ,1.20 ,"28,175,040 "
1 ,20.00 ,1.00 ,134816.00 ,15.00 ,1.20 ,"48,533,760 "
1 ,20.00 ,1.00 ,114160.00 ,15.00 ,1.20 ,"41,097,600 "
1 ,10.00 ,1.00 ,120120.00 ,15.00 ,1.20 ,"21,621,600 "
1 ,16.00 ,1.00 ,142140.00 ,15.00 ,1.20 ,"40,936,320 "
1 ,20.00 ,1.00 ,144647.00 ,15.00 ,1.20 ,"52,072,920 "
1 ,13.00 ,1.00 ,141624.00 ,15.00 ,1.20 ,"33,140,016 "
1 ,17.00 ,1.00 ,125265.00 ,15.00 ,1.20 ,"38,331,090 "
1 ,15.00 ,1.00 ,147792.00 ,15.00 ,1.20 ,"39,903,840 "
1 ,14.00 ,1.00 ,139196.00 ,15.00 ,1.20 ,"35,077,392 "
1 ,10.00 ,1.00 ,115458.00 ,15.00 ,1.20 ,"20,782,440 "
1 ,16.00 ,1.00 ,137736.00 ,15.00 ,1.20 ,"39,667,968 "
1 ,20.00 ,1.00 ,125097.00 ,15.00 ,1.20 ,"45,034,920 "
1 ,16.00 ,1.00 ,144716.00 ,15.00 ,1.20 ,"41,678,208 "
1 ,15.00 ,1.00 ,122320.00 ,15.00 ,1.20 ,"33,026,400 "
1 ,18.00 ,1.00 ,127701.00 ,15.00 ,1.20 ,"41,375,124 "
1 ,16.00 ,1.00 ,130851.00 ,15.00 ,1.20 ,"37,685,088 "
1 ,16.00 ,1.00 ,121275.00 ,15.00 ,1.20 ,"34,927,200 "
1 ,12.00 ,1.00 ,111160.00 ,15.00 ,1.20 ,"24,010,560 "
1 ,20.00 ,1.00 ,128216.00 ,15.00 ,1.20 ,"46,157,760 "
1 ,18.00 ,1.00 ,143208.00 ,15.00 ,1.20 ,"46,399,392 "
1 ,17.00 ,1.00 ,129672.00 ,15.00 ,1.20 ,"39,679,632 "
1 ,11.00 ,1.00 ,121065.00 ,15.00 ,1.20 ,"23,970,870 "
1 ,18.00 ,1.00 ,115960.00 ,15.00 ,1.20 ,"37,571,040 "
1 ,19.00 ,1.00 ,128568.00 ,15.00 ,1.20 ,"43,970,256 "
1 ,15.00 ,1.00 ,149280.00 ,15.00 ,1.20 ,"40,305,600 "
1 ,20.00 ,1.00 ,139896.00 ,15.00 ,1.20 ,"50,362,560 "
1 ,15.00 ,1.00 ,138805.00 ,15.00 ,1.20 ,"37,477,350 "
1 ,14.00 ,1.00 ,143888.00 ,15.00 ,1.20 ,"36,259,776 "
1 ,11.00 ,1.00 ,111220.00 ,15.00 ,1.20 ,"22,021,560 "
1 ,13.00 ,1.00 ,124212.00 ,15.00 ,1.20 ,"29,065,608 "
1 ,11.00 ,1.00 ,141096.00 ,15.00 ,1.20 ,"27,937,008 "
1 ,20.00 ,1.00 ,123940.00 ,15.00 ,1.20 ,"44,618,400 "
1 ,20.00 ,1.00 ,121638.00 ,15.00 ,1.20 ,"43,789,680 "
1 ,18.00 ,1.00 ,143543.00 ,15.00 ,1.20 ,"46,507,932 "
1 ,20.00 ,1.00 ,127407.00 ,15.00 ,1.20 ,"45,866,520 "
1 ,19.00 ,1.00 ,124840.00 ,15.00 ,1.20 ,"42,695,280 "
1 ,17.00 ,1.00 ,120700.00 ,15.00 ,1.20 ,"36,934,200 "
1 ,18.00 ,1.00 ,115458.00 ,15.00 ,1.20 ,"37,408,392 "
1 ,11.00 ,1.00 ,127834.00 ,15.00 ,1.20 ,"25,311,132 "
1 ,14.00 ,1.00 ,124152.00 ,15.00 ,1.20 ,"31,286,304 "
1 ,10.00 ,1.00 ,125422.00 ,15.00 ,1.20 ,"22,575,960 "
1 ,19.00 ,1.00 ,111880.00 ,15.00 ,1.20 ,"38,262,960 "
1 ,17.00 ,1.00 ,123753.00 ,15.00 ,1.20 ,"37,868,418 "
1 ,18.00 ,1.00 ,138792.00 ,15.00 ,1.20 ,"44,968,608 "
1 ,18.00 ,1.00 ,127908.00 ,15.00 ,1.20 ,"41,442,192 "
1 ,14.00 ,1.00 ,131560.00 ,15.00 ,1.20 ,"33,153,120 "
1 ,10.00 ,1.00 ,125718.00 ,15.00 ,1.20 ,"22,629,240 "
1 ,14.00 ,1.00 ,120057.00 ,15.00 ,1.20 ,"30,254,364 "
1 ,19.00 ,1.00 ,116529.00 ,15.00 ,1.20 ,"39,852,918 "
1 ,17.00 ,1.00 ,125200.00 ,15.00 ,1.20 ,"38,311,200 "
1 ,20.00 ,1.00 ,118120.00 ,15.00 ,1.20 ,"42,523,200 "
1 ,16.00 ,1.00 ,125740.00 ,15.00 ,1.20 ,"36,213,120 "
1 ,20.00 ,1.00 ,144739.00 ,15.00 ,1.20 ,"52,106,040 "
1 ,19.00 ,1.00 ,130318.00 ,15.00 ,1.20 ,"44,568,756 "
1 ,14.00 ,1.00 ,130966.00 ,15.00 ,1.20 ,"33,003,432 "
1 ,16.00 ,1.00 ,114618.00 ,15.00 ,1.20 ,"33,009,984 "
1 ,19.00 ,1.00 ,130284.00 ,15.00 ,1.20 ,"44,557,128 "
1 ,13.00 ,1.00 ,128869.00 ,15.00 ,1.20 ,"30,155,346 "
1 ,11.00 ,1.00 ,132192.00 ,15.00 ,1.20 ,"26,174,016 "
1 ,16.00 ,1.00 ,129338.00 ,15.00 ,1.20 ,"37,249,344 "
1 ,10.00 ,1.00 ,136092.00 ,15.00 ,1.20 ,"24,496,560 "
1 ,10.00 ,1.00 ,114560.00 ,15.00 ,1.20 ,"20,620,800 "
1 ,18.00 ,1.00 ,120648.00 ,15.00 ,1.20 ,"39,089,952 "
1 ,20.00 ,1.00 ,126315.00 ,15.00 ,1.20 ,"45,473,400 "
1 ,15.00 ,1.00 ,132237.00 ,15.00 ,1.20 ,"35,703,990 "
1 ,13.00 ,1.00 ,129536.00 ,15.00 ,1.20 ,"30,311,424 "
1 ,17.00 ,1.00 ,136229.00 ,15.00 ,1.20 ,"41,686,074 "
1 ,14.00 ,1.00 ,135470.00 ,15.00 ,1.20 ,"34,138,440 "
1 ,11.00 ,1.00 ,118314.00 ,15.00 ,1.20 ,"23,426,172 "
1 ,13.00 ,1.00 ,132330.00 ,15.00 ,1.20 ,"30,965,220 "
1 ,11.00 ,1.00 ,116160.00 ,15.00 ,1.20 ,"22,999,680 "
1 ,13.00 ,1.00 ,130262.00 ,15.00 ,1.20 ,"30,481,308 "
1 ,17.00 ,1.00 ,139656.00 ,15.00 ,1.20 ,"42,734,736 "
1 ,11.00 ,1.00 ,109760.00 ,15.00 ,1.20 ,"21,732,480 "
1 ,10.00 ,1.00 ,109540.00 ,15.00 ,1.20 ,"19,717,200 "
1 ,17.00 ,1.00 ,124960.00 ,15.00 ,1.20 ,"38,237,760 "
1 ,19.00 ,1.00 ,139368.00 ,15.00 ,1.20 ,"47,663,856 "
1 ,20.00 ,1.00 ,129507.00 ,15.00 ,1.20 ,"46,622,520 "
1 ,18.00 ,1.00 ,126983.00 ,15.00 ,1.20 ,"41,142,492 "
1 ,13.00 ,1.00 ,131964.00 ,15.00 ,1.20 ,"30,879,576 "
1 ,15.00 ,1.00 ,125114.00 ,15.00 ,1.20 ,"33,780,780 "
1 ,16.00 ,1.00 ,137126.00 ,15.00 ,1.20 ,"39,492,288 "
1 ,19.00 ,1.00 ,121170.00 ,15.00 ,1.20 ,"41,440,140 "
1 ,14.00 ,1.00 ,131882.00 ,15.00 ,1.20 ,"33,234,264 "
1 ,12.00 ,1.00 ,113260.00 ,15.00 ,1.20 ,"24,464,160 "
1 ,11.00 ,1.00 ,125327.00 ,15.00 ,1.20 ,"24,814,746 "
1 ,11.00 ,1.00 ,131010.00 ,15.00 ,1.20 ,"25,939,980 "
1 ,15.00 ,1.00 ,135312.00 ,15.00 ,1.20 ,"36,534,240 "
1 ,10.00 ,1.00 ,124593.00 ,15.00 ,1.20 ,"22,426,740 "
1 ,15.00 ,1.00 ,129171.00 ,15.00 ,1.20 ,"34,876,170 "
1 ,18.00 ,1.00 ,122408.00 ,15.00 ,1.20 ,"39,660,192 "
1 ,20.00 ,1.00 ,140553.00 ,15.00 ,1.20 ,"50,599,080 "
1 ,20.00 ,1.00 ,123280.00 ,15.00 ,1.20 ,"44,380,800 "
1 ,16.00 ,1.00 ,132000.00 ,15.00 ,1.20 ,"38,016,000 "
1 ,13.00 ,1.00 ,136229.00 ,15.00 ,1.20 ,"31,877,586 "
1 ,16.00 ,1.00 ,142560.00 ,15.00 ,1.20 ,"41,057,280 "
1 ,12.00 ,1.00 ,121572.00 ,15.00 ,1.20 ,"26,259,552 "
1 ,11.00 ,1.00 ,111160.00 ,15.00 ,1.20 ,"22,009,680 "
1 ,15.00 ,1.00 ,143750.00 ,15.00 ,1.20 ,"38,812,500 "
1 ,12.00 ,1.00 ,118167.00 ,15.00 ,1.20 ,"25,524,072 "
1 ,16.00 ,1.00 ,142296.00 ,15.00 ,1.20 ,"40,981,248 "
1 ,11.00 ,1.00 ,140645.00 ,15.00 ,1.20 ,"27,847,710 "
1 ,13.00 ,1.00 ,120340.00 ,15.00 ,1.20 ,"28,159,560 "
1 ,13.00 ,1.00 ,117980.00 ,15.00 ,1.20 ,"27,607,320 "
1 ,14.00 ,1.00 ,141381.00 ,15.00 ,1.20 ,"35,628,012 "
1 ,17.00 ,1.00 ,128961.00 ,15.00 ,1.20 ,"39,462,066 "
1 ,10.00 ,1.00 ,124146.00 ,15.00 ,1.20 ,"22,346,280 "
1 ,19.00 ,1.00 ,141816.00 ,15.00 ,1.20 ,"48,501,072 "
1 ,10.00 ,1.00 ,136320.00 ,15.00 ,1.20 ,"24,537,600 "
1 ,12.00 ,1.00 ,130617.00 ,15.00 ,1.20 ,"28,213,272 "
1 ,13.00 ,1.00 ,130548.00 ,15.00 ,1.20 ,"30,548,232 "
1 ,14.00 ,1.00 ,131628.00 ,15.00 ,1.20 ,"33,170,256 "
1 ,19.00 ,1.00 ,131744.00 ,15.00 ,1.20 ,"45,056,448 "
1 ,18.00 ,1.00 ,129465.00 ,15.00 ,1.20 ,"41,946,660 "
1 ,12.00 ,1.00 ,112480.00 ,15.00 ,1.20 ,"24,295,680 "
1 ,13.00 ,1.00 ,125740.00 ,15.00 ,1.20 ,"29,423,160 "
1 ,20.00 ,1.00 ,121044.00 ,15.00 ,1.20 ,"43,575,840 "
1 ,11.00 ,1.00 ,145704.00 ,15.00 ,1.20 ,"28,849,392 "
1 ,17.00 ,1.00 ,126324.00 ,15.00 ,1.20 ,"38,655,144 "
1 ,19.00 ,1.00 ,128590.00 ,15.00 ,1.20 ,"43,977,780 "
1 ,17.00 ,1.00 ,127468.00 ,15.00 ,1.20 ,"39,005,208 "
1 ,14.00 ,1.00 ,115260.00 ,15.00 ,1.20 ,"29,045,520 "
1 ,17.00 ,1.00 ,135344.00 ,15.00 ,1.20 ,"41,415,264 "
1 ,18.00 ,1.00 ,117138.00 ,15.00 ,1.20 ,"37,952,712 "
1 ,17.00 ,1.00 ,146640.00 ,15.00 ,1.20 ,"44,871,840 "
1 ,11.00 ,1.00 ,129612.00 ,15.00 ,1.20 ,"25,663,176 "
1 ,20.00 ,1.00 ,130328.00 ,15.00 ,1.20 ,"46,918,080 "
1 ,17.00 ,1.00 ,111320.00 ,15.00 ,1.20 ,"34,063,920 "
1 ,18.00 ,1.00 ,119580.00 ,15.00 ,1.20 ,"38,743,920 "
1 ,10.00 ,1.00 ,127491.00 ,15.00 ,1.20 ,"22,948,380 "
1 ,18.00 ,1.00 ,128709.00 ,15.00 ,1.20 ,"41,701,716 "
1 ,19.00 ,1.00 ,116865.00 ,15.00 ,1.20 ,"39,967,830 "
1 ,11.00 ,1.00 ,108040.00 ,15.00 ,1.20 ,"21,391,920 "
1 ,12.00 ,1.00 ,134872.00 ,15.00 ,1.20 ,"29,132,352 "
1 ,11.00 ,1.00 ,118260.00 ,15.00 ,1.20 ,"23,415,480 "
1 ,15.00 ,1.00 ,127722.00 ,15.00 ,1.20 ,"34,484,940 "
1 ,10.00 ,1.00 ,127732.00 ,15.00 ,1.20 ,"22,991,760 "
1 ,11.00 ,1.00 ,135907.00 ,15.00 ,1.20 ,"26,909,586 "
1 ,16.00 ,1.00 ,112020.00 ,15.00 ,1.20 ,"32,261,760 "
1 ,16.00 ,1.00 ,137896.00 ,15.00 ,1.20 ,"39,714,048 "
1 ,18.00 ,1.00 ,132968.00 ,15.00 ,1.20 ,"43,081,632 "
1 ,12.00 ,1.00 ,130482.00 ,15.00 ,1.20 ,"28,184,112 "
1 ,11.00 ,1.00 ,127050.00 ,15.00 ,1.20 ,"25,155,900 "
1 ,15.00 ,1.00 ,112860.00 ,15.00 ,1.20 ,"30,472,200 "
1 ,12.00 ,1.00 ,150960.00 ,15.00 ,1.20 ,"32,607,360 "
1 ,18.00 ,1.00 ,140967.00 ,15.00 ,1.20 ,"45,673,308 "
1 ,10.00 ,1.00 ,127336.00 ,15.00 ,1.20 ,"22,920,480 "
1 ,20.00 ,1.00 ,126962.00 ,15.00 ,1.20 ,"45,706,320 "
1 ,11.00 ,1.00 ,125307.00 ,15.00 ,1.20 ,"24,810,786 "
1 ,13.00 ,1.00 ,138072.00 ,15.00 ,1.20 ,"32,308,848 "
1 ,10.00 ,1.00 ,144532.00 ,15.00 ,1.20 ,"26,015,760 "
1 ,11.00 ,1.00 ,133008.00 ,15.00 ,1.20 ,"26,335,584 "
1 ,10.00 ,1.00 ,124880.00 ,15.00 ,1.20 ,"22,478,400 "
1 ,15.00 ,1.00 ,110520.00 ,15.00 ,1.20 ,"29,840,400 "
1 ,19.00 ,1.00 ,133440.00 ,15.00 ,1.20 ,"45,636,480 "
1 ,13.00 ,1.00 ,141648.00 ,15.00 ,1.20 ,"33,145,632 "
1 ,18.00 ,1.00 ,122040.00 ,15.00 ,1.20 ,"39,540,960 "
1 ,12.00 ,1.00 ,123648.00 ,15.00 ,1.20 ,"26,707,968 "
