,정격전압(V)370~390,정격전류(A)52~82,최대전력(w),주파수지수 *10, 전자파지수(TG)  
2020-8-1 0:00,387.12 ,77.93 ,30167.07 ,3.01671E-05, 0.91005196 
2020-8-1 0:15,375.86 ,71.33 ,26811.65 ,2.68117E-05, 0.71886465 
2020-8-1 0:30,384.47 ,53.60 ,20607.53 ,2.06075E-05, 0.42467044 
2020-8-1 0:45,388.46 ,65.31 ,25370.31 ,2.53703E-05, 0.64365253 
2020-8-1 1:00,376.33 ,64.58 ,24302.15 ,2.43021E-05, 0.59059439 
2020-8-1 1:15,371.79 ,66.22 ,24621.89 ,2.46219E-05, 0.60623737 
2020-8-1 1:30,377.39 ,52.60 ,19852.44 ,1.98524E-05, 0.39411946 
2020-8-1 1:45,387.03 ,81.53 ,31553.62 ,3.15536E-05, 0.99563081 
2020-8-1 2:00,382.08 ,55.01 ,21019.77 ,2.10198E-05, 0.44183058 
2020-8-1 2:15,381.01 ,69.37 ,26432.24 ,2.64322E-05, 0.69866350 
2020-8-1 2:30,383.12 ,53.62 ,20541.40 ,2.05414E-05, 0.42194912 
2020-8-1 2:45,381.08 ,77.14 ,29398.12 ,2.93981E-05, 0.86424969 
2020-8-1 3:00,381.90 ,69.17 ,26416.02 ,2.64160E-05, 0.69780628 
2020-8-1 3:15,379.04 ,67.67 ,25648.36 ,2.56484E-05, 0.65783849 
2020-8-1 3:30,377.36 ,75.60 ,28527.99 ,2.85280E-05, 0.81384611 
2020-8-1 3:45,373.36 ,62.41 ,23301.91 ,2.33019E-05, 0.54297887 
2020-8-1 4:00,381.49 ,74.35 ,28362.85 ,2.83629E-05, 0.80445130 
2020-8-1 4:15,378.38 ,78.37 ,29653.32 ,2.96533E-05, 0.87931968 
2020-8-1 4:30,387.98 ,71.58 ,27771.64 ,2.77716E-05, 0.77126398 
2020-8-1 4:45,380.10 ,59.24 ,22517.50 ,2.25175E-05, 0.50703788 
2020-8-1 5:00,379.47 ,54.28 ,20596.96 ,2.05970E-05, 0.42423484 
2020-8-1 5:15,372.38 ,76.96 ,28657.82 ,2.86578E-05, 0.82127048 
2020-8-1 5:30,386.36 ,66.24 ,25594.07 ,2.55941E-05, 0.65505640 
2020-8-1 5:45,374.84 ,67.46 ,25284.96 ,2.52850E-05, 0.63932908 
2020-8-1 6:00,384.88 ,61.70 ,23747.33 ,2.37473E-05, 0.56393582 
2020-8-1 6:15,373.79 ,78.30 ,29268.45 ,2.92684E-05, 0.85664197 
2020-8-1 6:30,383.96 ,74.68 ,28674.77 ,2.86748E-05, 0.82224256 
2020-8-1 6:45,383.37 ,76.90 ,29481.24 ,2.94812E-05, 0.86914354 
2020-8-1 7:00,384.01 ,52.70 ,20236.14 ,2.02361E-05, 0.40950145 
2020-8-1 7:15,379.04 ,55.53 ,21046.24 ,2.10462E-05, 0.44294426 
2020-8-1 7:30,370.53 ,54.04 ,20023.34 ,2.00233E-05, 0.40093413 
2020-8-1 7:45,371.98 ,62.54 ,23262.51 ,2.32625E-05, 0.54114438 
2020-8-1 8:00,383.07 ,59.42 ,22763.13 ,2.27631E-05, 0.51816008 
2020-8-1 8:15,388.23 ,81.76 ,31742.14 ,3.17421E-05, 1.00756329 
2020-8-1 8:30,370.89 ,79.45 ,29466.94 ,2.94669E-05, 0.86830083 
2020-8-1 8:45,378.01 ,60.17 ,22744.09 ,2.27441E-05, 0.51729371 
2020-8-1 9:00,384.80 ,74.09 ,28511.01 ,2.85110E-05, 0.81287764 
2020-8-1 9:15,375.04 ,75.13 ,28177.34 ,2.81773E-05, 0.79396229 
2020-8-1 9:30,374.49 ,56.61 ,21200.04 ,2.12000E-05, 0.44944187 
2020-8-1 9:45,376.90 ,56.75 ,21388.13 ,2.13881E-05, 0.45745219 
2020-8-1 10:00,377.02 ,66.40 ,25034.88 ,2.50349E-05, 0.62674531 
2020-8-1 10:15,389.12 ,65.34 ,25425.32 ,2.54253E-05, 0.64644711 
2020-8-1 10:30,370.37 ,63.22 ,23416.08 ,2.34161E-05, 0.54831279 
2020-8-1 10:45,372.09 ,78.82 ,29327.12 ,2.93271E-05, 0.86007994 
2020-8-1 11:00,370.11 ,63.43 ,23475.24 ,2.34752E-05, 0.55108683 
2020-8-1 11:15,387.79 ,78.37 ,30391.80 ,3.03918E-05, 0.92366134 
2020-8-1 11:30,385.44 ,76.39 ,29442.15 ,2.94422E-05, 0.86684037 
2020-8-1 11:45,383.76 ,73.03 ,28025.89 ,2.80259E-05, 0.78545071 
2020-8-1 12:00,376.62 ,71.62 ,26973.15 ,2.69732E-05, 0.72755104 
2020-8-1 12:15,377.24 ,66.83 ,25212.35 ,2.52124E-05, 0.63566275 
2020-8-1 12:30,389.41 ,61.25 ,23851.10 ,2.38511E-05, 0.56887515 
2020-8-1 12:45,384.97 ,77.59 ,29871.11 ,2.98711E-05, 0.89228321 
2020-8-1 13:00,387.00 ,68.55 ,26527.66 ,2.65277E-05, 0.70371699 
2020-8-1 13:15,375.76 ,58.50 ,21983.08 ,2.19831E-05, 0.48325567 
2020-8-1 13:30,383.68 ,68.48 ,26274.34 ,2.62743E-05, 0.69034089 
2020-8-1 13:45,376.79 ,56.25 ,21193.58 ,2.11936E-05, 0.44916785 
2020-8-1 14:00,386.52 ,55.29 ,21370.32 ,2.13703E-05, 0.45669042 
2020-8-1 14:15,387.88 ,73.61 ,28553.36 ,2.85534E-05, 0.81529414 
2020-8-1 14:30,373.23 ,77.53 ,28936.29 ,2.89363E-05, 0.83730862 
2020-8-1 14:45,379.62 ,54.63 ,20739.12 ,2.07391E-05, 0.43011109 
2020-8-1 15:00,384.87 ,70.27 ,27046.26 ,2.70463E-05, 0.73150013 
2020-8-1 15:15,388.22 ,60.46 ,23470.61 ,2.34706E-05, 0.55086943 
2020-8-1 15:30,378.64 ,66.05 ,25008.86 ,2.50089E-05, 0.62544289 
2020-8-1 15:45,370.92 ,56.59 ,20989.94 ,2.09899E-05, 0.44057766 
2020-8-1 16:00,379.02 ,59.08 ,22394.24 ,2.23942E-05, 0.50150190 
2020-8-1 16:15,380.28 ,74.42 ,28299.32 ,2.82993E-05, 0.80085153 
2020-8-1 16:30,374.39 ,59.09 ,22122.68 ,2.21227E-05, 0.48941277 
2020-8-1 16:45,372.68 ,73.90 ,27539.32 ,2.75393E-05, 0.75841427 
2020-8-1 17:00,386.32 ,60.80 ,23489.80 ,2.34898E-05, 0.55177051 
2020-8-1 17:15,380.72 ,67.15 ,25565.71 ,2.55657E-05, 0.65360563 
2020-8-1 17:30,387.60 ,54.35 ,21066.30 ,2.10663E-05, 0.44378918 
2020-8-1 17:45,380.78 ,58.19 ,22157.61 ,2.21576E-05, 0.49095967 
2020-8-1 18:00,381.06 ,68.05 ,25929.35 ,2.59294E-05, 0.67233138 
2020-8-1 18:15,382.45 ,71.35 ,27286.72 ,2.72867E-05, 0.74456488 
2020-8-1 18:30,374.47 ,77.90 ,29169.55 ,2.91696E-05, 0.85086288 
2020-8-1 18:45,380.03 ,68.00 ,25842.89 ,2.58429E-05, 0.66785518 
2020-8-1 19:00,386.99 ,71.62 ,27716.22 ,2.77162E-05, 0.76818885 
2020-8-1 19:15,377.79 ,54.39 ,20547.65 ,2.05476E-05, 0.42220587 
