지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
90,2021-11-01 0:01,13.8,0,274.6,0.8,1019.6,1021.7,59.7,,0
90,2021-11-01 0:02,14.1,0,272.6,0.8,1019.6,1021.7,58.7,,0
90,2021-11-01 0:03,14.3,0,280.9,1.2,1019.6,1021.7,57.7,,0
90,2021-11-01 0:04,14.4,0,275.4,1,1019.6,1021.7,57.4,,0
90,2021-11-01 0:05,14.4,0,229,0.2,1019.6,1021.7,57.2,,0
90,2021-11-01 0:06,14.5,0,228.6,0,1019.5,1021.6,56.6,,0
90,2021-11-01 0:07,14.6,0,246.5,0,1019.5,1021.6,56.1,,0
90,2021-11-01 0:08,14.7,0,349.6,0.1,1019.5,1021.6,56,,0
90,2021-11-01 0:09,14.4,0,324.6,0.6,1019.5,1021.6,57.5,,0
90,2021-11-01 0:10,13.9,0,304.4,0.8,1019.5,1021.6,59.3,,0
90,2021-11-01 0:11,13.9,0,328.3,1,1019.5,1021.6,58.8,,0
90,2021-11-01 0:12,13.8,0,345.2,1.1,1019.5,1021.6,59.6,,0
90,2021-11-01 0:13,13.6,0,346.4,1.4,1019.5,1021.6,60.7,,0
90,2021-11-01 0:14,13.8,0,318,1.2,1019.5,1021.6,59.4,,0
90,2021-11-01 0:15,14.3,0,306.2,1.3,1019.5,1021.6,57.4,,0
90,2021-11-01 0:16,14.5,0,286.6,1.4,1019.5,1021.6,57,,0
90,2021-11-01 0:17,14.3,0,244.6,1.6,1019.5,1021.6,58.1,,0
90,2021-11-01 0:18,13.9,0,226.7,1.7,1019.5,1021.6,59.8,,0
90,2021-11-01 0:19,13.5,0,212.4,1.9,1019.5,1021.6,61.1,,0
90,2021-11-01 0:20,13.1,0,200.4,1.9,1019.5,1021.6,63.1,,0
90,2021-11-01 0:21,12.7,0,170.6,1.6,1019.4,1021.5,64.5,,0
90,2021-11-01 0:22,12.5,0,153.2,0.4,1019.4,1021.5,65,,0
90,2021-11-01 0:23,12.7,0,272.6,0.2,1019.4,1021.5,64.5,,0
90,2021-11-01 0:24,12.8,0,39.2,0.5,1019.4,1021.5,64.5,,0
90,2021-11-01 0:25,12.6,0,24.6,0.8,1019.4,1021.5,65.3,,0
90,2021-11-01 0:26,12.6,0,10.6,0.8,1019.4,1021.5,65.7,,0
90,2021-11-01 0:27,12.5,0,11.4,1.2,1019.4,1021.5,65.8,,0
