, 형태소,  의미형태,구분신뢰도, 자연어 수,전자파 지수10,전자파(TG),AI 쳇봇 기계학습효율*100%
2020-6-1 0:00, 228.93 , 4.81 , 0.84 , 925.62 , 0.93 , 0.93 , 92.56 
2020-6-1 0:15, 237.37 , 9.71 , 0.92 ," 2,126.78 ", 2.13 , 2.13 , 212.68 
2020-6-1 0:30, 226.43 , 8.07 , 0.84 ," 1,535.57 ", 1.54 , 1.54 , 153.56 
2020-6-1 0:45, 205.71 , 2.09 , 0.85 , 366.31 , 0.37 , 0.37 , 36.63 
2020-6-1 1:00, 210.72 , 7.51 , 0.90 ," 1,419.53 ", 1.42 , 1.42 , 141.95 
2020-6-1 1:15, 201.19 , 1.88 , 0.91 , 341.87 , 0.34 , 0.34 , 34.19 
2020-6-1 1:30, 221.30 , 5.14 , 0.88 , 995.22 , 1.00 , 1.00 , 99.52 
2020-6-1 1:45, 215.49 , 9.94 , 0.85 ," 1,814.90 ", 1.81 , 1.81 , 181.49 
2020-6-1 2:00, 212.77 , 1.86 , 0.89 , 353.38 , 0.35 , 0.35 , 35.34 
2020-6-1 2:15, 225.50 , 4.34 , 0.83 , 813.75 , 0.81 , 0.81 , 81.37 
2020-6-1 2:30, 231.61 , 1.06 , 0.86 , 211.41 , 0.21 , 0.21 , 21.14 
2020-6-1 2:45, 212.17 , 9.93 , 0.80 ," 1,695.24 ", 1.70 , 1.70 , 169.52 
2020-6-1 3:00, 233.67 , 5.77 , 0.89 ," 1,200.44 ", 1.20 , 1.20 , 120.04 
2020-6-1 3:15, 207.61 , 7.07 , 0.81 ," 1,185.48 ", 1.19 , 1.19 , 118.55 
2020-6-1 3:30, 201.84 , 6.92 , 0.93 ," 1,302.12 ", 1.30 , 1.30 , 130.21 
2020-6-1 3:45, 203.43 , 3.86 , 0.90 , 708.42 , 0.71 , 0.71 , 70.84 
2020-6-1 4:00, 232.19 , 6.13 , 0.90 ," 1,283.43 ", 1.28 , 1.28 , 128.34 
2020-6-1 4:15, 223.07 , 2.52 , 0.81 , 454.57 , 0.45 , 0.45 , 45.46 
2020-6-1 4:30, 205.50 , 5.90 , 0.84 ," 1,015.64 ", 1.02 , 1.02 , 101.56 
2020-6-1 4:45, 210.71 , 5.02 , 0.89 , 941.93 , 0.94 , 0.94 , 94.19 
2020-6-1 5:00, 217.76 , 9.42 , 0.82 ," 1,686.29 ", 1.69 , 1.69 , 168.63 
2020-6-1 5:15, 209.01 , 4.61 , 0.91 , 878.36 , 0.88 , 0.88 , 87.84 
2020-6-1 5:30, 230.01 , 9.21 , 0.92 ," 1,949.77 ", 1.95 , 1.95 , 194.98 
2020-6-1 5:45, 207.01 , 2.04 , 0.90 , 381.29 , 0.38 , 0.38 , 38.13 
2020-6-1 6:00, 226.14 , 6.93 , 0.90 ," 1,412.81 ", 1.41 , 1.41 , 141.28 
2020-6-1 6:15, 213.92 , 5.93 , 0.85 ," 1,073.83 ", 1.07 , 1.07 , 107.38 
2020-6-1 6:30, 212.31 , 9.16 , 0.86 ," 1,664.19 ", 1.66 , 1.66 , 166.42 
2020-6-1 6:45, 235.71 , 8.65 , 0.81 ," 1,645.46 ", 1.65 , 1.65 , 164.55 
2020-6-1 7:00, 222.40 , 1.70 , 0.89 , 336.51 , 0.34 , 0.34 , 33.65 
2020-6-1 7:15, 228.92 , 5.71 , 0.89 ," 1,164.84 ", 1.16 , 1.16 , 116.48 
2020-6-1 7:30, 203.21 , 3.23 , 0.88 , 580.32 , 0.58 , 0.58 , 58.03 
2020-6-1 7:45, 238.69 , 7.72 , 0.89 ," 1,641.93 ", 1.64 , 1.64 , 164.19 
2020-6-1 8:00, 212.99 , 3.67 , 0.80 , 626.97 , 0.63 , 0.63 , 62.70 
